laureate_id,laureate_name,prize_year,title,pub_year,paper_id,target_doi,journal,affiliation,is_prize_winning,field
30028,"warren, jr",2005,unidentified curved bacilli in the stomach of patients with gastritis and peptic ulceration,1984,2143107875,10.1016/S0140-6736(84)91816-6,the lancet,,YES,medicine
30029,"marshall, bj",2005,unidentified curved bacilli in the stomach of patients with gastritis and peptic ulceration,1984,2143107875,10.1016/S0140-6736(84)91816-6,the lancet,,YES,medicine
30030,"buck, l",2004,a novel multigene family may encode odorant receptors a molecular basis for odor recognition,1991,2097186487,10.1016/0092-8674(91)90418-X,cell,fred hutchinson cancer research center,YES,medicine
30031,"axel, r",2004,a novel multigene family may encode odorant receptors a molecular basis for odor recognition,1991,2097186487,10.1016/0092-8674(91)90418-X,cell,howard hughes medical institute,YES,medicine
30032,"mansfield, p",2003,multi planar image formation using nmr spin echoes,1977,2065113098,10.1088/0022-3719/10/3/004,journal of physics c solid state physics,university of nottingham,YES,medicine
30033,"lauterbur, pc",2003,image formation by induced local interactions examples employing nuclear magnetic resonance,1973,2020623316,10.1038/242190a0,nature,,YES,medicine
30034,"horvitz, hr",2002,genetic control of programmed cell death in the nematode c elegans,1986,1969331809,10.1016/0092-8674(86)90004-8,cell,massachusetts institute of technology,YES,medicine
30036,"sulston, je",2002,post embryonic cell lineages of the nematode caenorhabditis elegans,1977,1986006829,10.1016/0012-1606(77)90158-0,developmental biology,wellcome trust,YES,medicine
30037,"nurse, p",2001,negative regulation of mitosis by wee1 a gene encoding a protein kinase homolog,1987,2038340312,10.1016/0092-8674(87)90458-2,cell,,YES,medicine
30037,"nurse, p",2001,complementation used to clone a human homologue of the fission yeast cell cycle control gene cdc2,1987,1980585800,10.1038/327031a0,nature,,YES,medicine
30038,"hunt, t",2001,cyclin a protein specified by maternal mrna in sea urchin eggs that is destroyed at each cleavage division,1983,2090827556,10.1016/0092-8674(83)90420-8,cell,marine biological laboratory,YES,medicine
30039,"hartwell, lh",2001,genetic control of the cell division cycle in yeast iv genes controlling bud emergence and cytokinesis,1971,2057764157,10.1016/0014-4827(71)90223-0,experimental cell research,fred hutchinson cancer research center,YES,medicine
30040,"kandel, er",2000,neuronal correlates of habituation and dishabituation of the gill withdrawal reflex in aplysia,1970,2149101054,10.1126/science.167.3926.1743,science,columbia university,YES,medicine
30041,greengar.p,2000,cyclic nucleotide dependent protein kinases iv widespread occurrence of adenosine 3 5 monophosphate dependent protein kinase in various tissues and phyla of the animal kingdom,1969,2013216313,10.1073/pnas.64.4.1349,proceedings of the national academy of sciences of the united states of america,rockefeller university,YES,medicine
30042,"carlsson, a",2000,3 4 dihydroxyphenylalanine and 5 hydroxytryptophan as reserpine antagonists,1957,2085518524,10.1038/1801200a0,nature,university of gothenburg,YES,medicine
30042,"carlsson, a",2000,a fluorimetric method for the determination of dopamine 3 hydroxytyramine,1958,2021432299,10.1111/j.1748-1716.1958.tb01628.x,acta physiologica scandinavica,lund university,YES,medicine
30042,"carlsson, a",2000,a method for the fluorimetric determination of adrenaline and noradrenaline in tissues 1,1958,2055404553,10.1111/j.1748-1716.1958.tb01627.x,acta physiologica scandinavica,lund university,YES,medicine
30043,"blobel, g",1999,transfer of proteins across membranes i presence of proteolytically processed and unprocessed nascent immunoglobulin light chains on membrane bound ribosomes of murine myeloma,1975,2146923243,10.1083/jcb.67.3.835,journal of cell biology,howard hughes medical institute,YES,medicine
30044,"murad, f",1998,nitric oxide activates guanylate cyclase and increases guanosine 3 5 cyclic monophosphate levels in various tissue preparations,1977,2000075945,10.1073/pnas.74.8.3203,proceedings of the national academy of sciences of the united states of america,university of texas health science center at houston,YES,medicine
30045,"furchgott, rf",1998,the obligatory role of endothelial cells in the relaxation of arterial smooth muscle by acetylcholine,1980,2169182236,10.1038/288373a0,nature,,YES,medicine
30046,"ignarro, lj",1998,endothelium derived relaxing factor from pulmonary artery and vein possesses pharmacologic and chemical properties identical to those of nitric oxide radical,1987,1992718978,10.1161/01.RES.61.6.866,circulation research,university of california los angeles,YES,medicine
30046,"ignarro, lj",1998,endothelium derived relaxing factor produced and released from artery and vein is nitric oxide,1987,2092145002,10.1073/pnas.84.24.9265,proceedings of the national academy of sciences of the united states of america,university of california los angeles,YES,medicine
30047,"prusiner, sb",1997,novel proteinaceous infectious particles cause scrapie,1982,2013679718,10.1126/science.6801762,science,university of california san francisco,YES,medicine
30048,zinkerna.rm,1996,restriction of in vitro t cell mediated cytotoxicity in lymphocytic choriomeningitis within a syngeneic or semiallogeneic system,1974,1985774274,10.1038/248701a0,nature,university of zurich,YES,medicine
30048,zinkerna.rm,1996,immunological surveillance against altered self components by sensitised t lymphocytes in lymphocytic choriomeningitis,1974,1998240361,10.1038/251547a0,nature,university of zurich,YES,medicine
30049,"doherty, pc",1996,restriction of in vitro t cell mediated cytotoxicity in lymphocytic choriomeningitis within a syngeneic or semiallogeneic system,1974,1985774274,10.1038/248701a0,nature,university of melbourne,YES,medicine
30049,"doherty, pc",1996,immunological surveillance against altered self components by sensitised t lymphocytes in lymphocytic choriomeningitis,1974,1998240361,10.1038/251547a0,nature,university of melbourne,YES,medicine
30050,"nussleinvolhard, c",1995,mutations affecting segment number and polarity in drosophila,1980,2000572318,10.1038/287795a0,nature,max planck society,YES,medicine
30051,"wieschaus, e",1995,mutations affecting segment number and polarity in drosophila,1980,2000572318,10.1038/287795a0,nature,,YES,medicine
30052,"lewis, eb",1995,a gene complex controlling segmentation in drosophila,1978,2006788765,10.1038/276565a0,nature,california institute of technology,YES,medicine
30054,"gilman, ag",1994,purification of the regulatory component of adenylate cyclase,1980,1984080990,10.1073/pnas.77.11.6516,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30055,"sharp, pa",1993,Sizing and mapping of early adenovirus mRNAs by gel electrophoresis of S1 endonuclease-digested hybrids,1977,2054073262,10.1016/0092-8674(77)90272-0,cell,massachusetts institute of technology,YES,medicine
30056,"roberts, rj",1993,an amazing sequence arrangement at the 5 ends of adenovirus 2 messenger rna,1977,1996948250,10.1016/0092-8674(77)90180-5,cell,new england biolabs,YES,medicine
30057,"fischer, eh",1992,The phosphorylase b to a converting enzyme of rabbit skeletal muscle,1956,2071356747,10.1016/0006-3002(56)90273-6,biochimica et biophysica acta,university of washington,YES,medicine
30058,"krebs, eg",1992,the reaction of sodium borohydride with muscle phosphorylase1,1958,2317118960,10.1021/ja01544a082,journal of the american chemical society,university of washington,YES,medicine
30059,"sakmann, b",1991,mproved patch-clamp techniques for high-resolution current recording from cells and cell-free membrane patches,1981,2009667219,10.1007/BF00656997,pflugers archiv european journal of physiology,max planck society,YES,medicine
30060,"neher, e",1991,Improved patch-clamp techniques for high-resolution current recording from cells and cell-free membrane patches,1981,2009667219,10.1007/BF00656997,pflugers archiv european journal of physiology,max planck society,YES,medicine
30061,thomas ed,1990,SUPRALETHAL WHOLE BODY IRRADIATION AND ISOLOGOUS MARROW TRANSPLANTATION IN MAN,1959,2118298035,10.1172/JCI103949,journal of clinical investigation,columbia university,YES,medicine
30063,"varmus, he",1989,dna related to the transforming gene s of avian sarcoma viruses is present in normal avian dna,1976,2004771750,10.1038/260170a0,nature,national institutes of health,YES,medicine
30064,"bishop, jm",1989,dna related to the transforming gene s of avian sarcoma viruses is present in normal avian dna,1976,2004771750,10.1038/260170a0,nature,,YES,medicine
30065,"black, jw",1988,definition and antagonism of histamine h2 receptors,1972,2074949244,10.1038/236385a0,nature,,YES,medicine
30065,"black, jw",1988,pharmacology of a new adrenergic beta receptor blocking compound nethalide,1962,1987712838,10.1016/S0140-6736(62)90103-4,the lancet,imperial chemical industries,YES,medicine
30066,"hitchings, gh",1988,studies on condensed pyrimidine systems ix the synthesis of some 6 substituted purines,1952,2324396664,10.1021/ja01122a037,journal of the american chemical society,kettering university,YES,medicine
30067,"elion, gb",1988,studies on condensed pyrimidine systems ix the synthesis of some 6 substituted purines,1952,2324396664,10.1021/ja01122a037,journal of the american chemical society,duke university,YES,medicine
30068,"tonegawa, s",1987,evidence for somatic rearrangement of immunoglobulin genes coding for variable and constant regions,1976,1982039072,10.1073/pnas.73.10.3628,proceedings of the national academy of sciences of the united states of america,picower institute for learning and memory,YES,medicine
30069,"cohen, s",1986,a nerve growth stimulating factor isolated from sarcom as 37 and 180,1954,2040742427,10.1073/pnas.40.10.1014,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30069,"cohen, s",1986,a nerve growth stimulating factor isolated from snake venom,1956,2103276585,10.1073/pnas.42.9.571,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30070,"levimontalcini, r",1986,effects of mouse tumor transplantation on the nervous system,1952,1965289808,10.1111/j.1749-6632.1952.tb26548.x,annals of the new york academy of sciences,washington university in st louis,YES,medicine
30071,"brown, ms",1985,regulation of 3 hydroxy 3 methylglutaryl coenzyme a reductase activity in human fibroblasts by lipoproteins,1973,2021537613,10.1073/pnas.70.7.2162,proceedings of the national academy of sciences of the united states of america,university of texas southwestern medical center,YES,medicine
30073,"milstein, c",1984,continuous cultures of fused cells secreting antibody of predefined specificity,1975,2030522563,10.1038/256495a0,nature,laboratory of molecular biology,YES,medicine
30074,"kohler, g",1984,continuous cultures of fused cells secreting antibody of predefined specificity,1975,2030522563,10.1038/256495a0,nature,,YES,medicine
30075,"jerne, nk",1984,the natural selection theory of antibody formation,1955,2064008537,10.1073/pnas.41.11.849,proceedings of the national academy of sciences of the united states of america,basel institute for immunology,YES,medicine
30076,"mcclintock, b",1983,chromosome organization and genic expression,1951,2130578722,10.1101/SQB.1951.016.01.004,cold spring harbor symposia on quantitative biology,carnegie institution for science,YES,medicine
30076,"mcclintock, b",1983,the origin and behavior of mutable loci in maize,1950,2026519705,10.1073/pnas.36.6.344,proceedings of the national academy of sciences of the united states of america,carnegie institution for science,YES,medicine
30076,"mcclintock, b",1983,the fusion of broken ends of chromosomes following nuclear fusion,1942,2027884659,10.1073/pnas.28.11.458,proceedings of the national academy of sciences of the united states of america,carnegie institution for science,YES,medicine
30077,samuelss.b,1982,thromboxanes a new group of biologically active compounds derived from prostaglandin endoperoxides,1975,2030087792,10.1073/pnas.72.8.2994,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30077,samuelss.b,1982,prostaglandin endoperoxides novel transformations of arachidonic acid in human platelets,1974,2050568232,10.1073/pnas.71.9.3400,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30077,samuelss.b,1982,isolation and structure of two prostaglandin endoperoxides that cause platelet aggregation,1974,2010694924,10.1073/pnas.71.2.345,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30077,samuelss.b,1982,arachidonic acid metabolism in polymorphonuclear leukocytes effects of ionophore a23187,1979,2059290365,10.1073/pnas.76.5.2148,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30077,samuelss.b,1982,leukotriene c a slow reacting substance from murine mastocytoma cells,1979,2123773797,10.1073/pnas.76.9.4275,proceedings of the national academy of sciences of the united states of america,,YES,medicine
30077,samuelss.b,1982,prostaglandin endoperoxides vii novel transformations of arachidonic acid in guinea pig lung,1974,2035879817,10.1016/0006-291X(74)90246-0,biochemical and biophysical research communications,,YES,medicine
30078,"vane, jr",1982,an enzyme isolated from arteries transforms prostaglandin endoperoxides to an unstable substance that inhibits platelet aggregation,1976,2021403302,10.1038/263663a0,nature,st bartholomew s hospital,YES,medicine
30078,"vane, jr",1982,inhibition of prostaglandin synthesis as a mechanism of action for aspirin like drugs,1971,2008574207,10.1038/newbio231232a0,nature,,YES,medicine
30079,"bergstrom, s",1982,on the regulation of bile acid formation in the rat liver,1958,2043258254,10.1111/j.1748-1716.1958.tb01572.x,acta physiologica scandinavica,,YES,medicine
30079,"bergstrom, s",1982,observations on the effects of infusion of prostnglnndin e in man,1959,2019393655,10.1111/j.1748-1716.1959.tb01686.x,acta physiologica scandinavica,,YES,medicine
30080,"hubel, dh",1981,receptive fields binocular interaction and functional architecture in the cat s visual cortex,1962,2116360511,10.1113/jphysiol.1962.sp006837,the journal of physiology,harvard university,YES,medicine
30080,"hubel, dh",1981,receptive fields and functional architecture of monkey striate cortex,1968,2117731089,10.1113/jphysiol.1968.sp008455,the journal of physiology,harvard university,YES,medicine
30080,"hubel, dh",1981,single cell responses in striate cortex of kittens deprived of vision in one eye,1963,1870538900,10.1152/jn.1963.26.6.1003,journal of neurophysiology,harvard university,YES,medicine
30080,"hubel, dh",1981,comparison of the effects of unilateral and bilateral eye closure on cortical unit responses in kittens,1965,148261105,10.1152/jn.1965.28.6.1029,journal of neurophysiology,harvard university,YES,medicine
30080,"hubel, dh",1981,receptive fields and functional architecture in two nonstriate visual areas 18 and 19 of the cat,1965,1594551768,10.1152/jn.1965.28.2.229,journal of neurophysiology,harvard university,YES,medicine
30081,"sperry, rw",1981,chemoaffinity in the orderly growth of nerve fiber patterns and connections,1963,1980094138,10.1073/pnas.50.4.703,proceedings of the national academy of sciences of the united states of america,california institute of technology,YES,medicine
30082,"wiesel, tn",1981,receptive fields binocular interaction and functional architecture in the cat s visual cortex,1962,2116360511,10.1113/jphysiol.1962.sp006837,the journal of physiology,rockefeller university,YES,medicine
30082,"wiesel, tn",1981,receptive fields and functional architecture of monkey striate cortex,1968,2117731089,10.1113/jphysiol.1968.sp008455,the journal of physiology,rockefeller university,YES,medicine
30082,"wiesel, tn",1981,single cell responses in striate cortex of kittens deprived of vision in one eye,1963,1870538900,10.1152/jn.1963.26.6.1003,journal of neurophysiology,rockefeller university,YES,medicine
30082,"wiesel, tn",1981,receptive fields and functional architecture in two nonstriate visual areas 18 and 19 of the cat,1965,1594551768,10.1152/jn.1965.28.2.229,journal of neurophysiology,rockefeller university,YES,medicine
30082,"wiesel, tn",1981,comparison of the effects of unilateral and bilateral eye closure on cortical unit responses in kittens,1965,148261105,10.1152/jn.1965.28.6.1029,journal of neurophysiology,harvard university,YES,medicine
30085,benacerr.b,1980,properties of antibodies cytophilic for macrophages,1966,2086695584,10.1084/jem.123.1.119,journal of experimental medicine,harvard university,YES,medicine
30085,benacerr.b,1980,properties of guinea pig 7s antibodies ii identification of antibodies involved in passive cutaneous and systemic anaphylaxis,1963,2169383488,10.1084/jem.117.6.951,journal of experimental medicine,harvard university,YES,medicine
30085,benacerr.b,1980,properties of guinea pig 7s antibodies i electrophoretic separation of two types of guinea pig 7s antibodies,1963,2094124809,10.1084/jem.117.6.937,journal of experimental medicine,harvard university,YES,medicine
30086,"hounsfield, gn",1979,computerized transverse axial scanning tomography part 1 description of system,1973,2123169298,10.1259/0007-1285-46-552-1016,british journal of radiology,,YES,medicine
30087,"cormack, am",1979,representation of a function by its line integrals with some radiological applications,1963,2004804713,10.1063/1.1713127,journal of applied physics,tufts university,YES,medicine
30088,"nathans, d",1978,specific cleavage of simian virus 40 dna by restriction endonuclease of hemophilus influenzae,1971,2090526981,10.1073/pnas.68.12.2913,proceedings of the national academy of sciences of the united states of america,johns hopkins university,YES,medicine
30089,"arber, w",1978,host specificity of dna produced by escherichia coli ii control over acceptance of dna from infecting phage,1962,1518906504,10.1016/S0022-2836(62)80059-X,journal of molecular biology,university of geneva,YES,medicine
